Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
,4634.36,4003.08,4577.95,4586.67,4172.31,3844.62,4183.59,4584.62,4696.41,4277.95,4054.87,4408.72,4521.54,4246.15
,4630.77,3994.87,4572.31,4576.92,4168.72,3843.59,4183.08,4583.59,4693.85,4278.46,4063.08,4403.59,4511.79,4247.69
,4629.74,3997.44,4573.33,4567.18,4176.41,3845.64,4181.54,4583.59,4694.87,4277.95,4068.21,4404.1,4516.92,4249.74
,4638.97,4006.15,4580.51,4558.46,4184.62,3849.23,4183.59,4587.18,4698.97,4281.54,4065.64,4411.79,4526.15,4250.77
,4645.64,3997.95,4578.46,4542.56,4184.62,3849.74,4182.05,4588.21,4703.08,4282.05,4063.08,4413.85,4515.38,4252.31
,4645.13,3986.15,4575.38,4534.87,4182.05,3845.13,4173.85,4585.64,4703.08,4277.95,4055.9,4407.69,4503.08,4250.26
,4647.18,3989.23,4580.51,4543.59,4184.1,3844.62,4177.95,4592.82,4704.1,4284.1,4055.9,4404.1,4509.74,4248.72
,4650.77,3989.23,4585.64,4544.62,4193.33,3848.21,4187.69,4598.46,4704.62,4285.13,4071.28,4407.18,4513.33,4249.74
,4647.69,3977.44,4578.97,4538.97,4197.44,3843.08,4183.59,4589.74,4702.05,4275.9,4075.9,4404.62,4506.15,4248.72
,4648.21,3972.82,4576.41,4541.03,4197.95,3837.95,4179.49,4585.13,4700.51,4281.54,4072.31,4399.49,4511.79,4251.28
,4658.46,3982.05,4584.1,4537.95,4200.51,3843.08,4186.15,4595.38,4706.15,4294.87,4082.56,4402.05,4526.67,4263.59
,4663.08,3988.21,4585.13,4527.18,4203.08,3845.64,4186.67,4601.54,4711.79,4292.31,4088.72,4410.77,4522.05,4268.21
,4662.05,3991.79,4580,4520,4206.67,3842.56,4181.03,4598.46,4711.28,4289.74,4083.59,4420,4511.79,4262.05
,4669.74,3993.85,4584.62,4511.79,4214.87,3847.18,4183.59,4605.13,4718.46,4306.15,4088.72,4426.67,4521.03,4268.72
,4674.36,3994.36,4593.33,4494.36,4220,3850.77,4187.69,4615.38,4733.85,4316.41,4097.44,4429.23,4530.26,4281.03
,4670.77,4002.56,4589.23,4479.49,4215.9,3845.13,4185.64,4610.77,4731.28,4305.64,4091.79,4426.15,4520.51,4273.33
,4679.49,4015.9,4585.13,4473.85,4216.41,3843.08,4181.54,4600.51,4722.56,4295.9,4087.69,4426.67,4515.9,4260
,4691.79,4018.46,4591.79,4464.62,4225.64,3845.13,4184.1,4603.59,4726.67,4302.56,4090.77,4436.41,4525.13,4271.28
,4686.67,4009.74,4590.77,4452.82,4232.82,3846.67,4187.18,4607.69,4727.69,4305.64,4088.21,4443.59,4521.03,4283.59
,4676.41,4004.1,4581.54,4442.56,4231.28,3841.54,4184.62,4600,4716.92,4294.87,4077.95,4438.97,4507.69,4271.28
,4676.41,4004.1,4580.51,4433.85,4228.21,3833.33,4182.56,4597.44,4715.9,4289.23,4072.31,4434.87,4510.77,4264.1
,4676.41,4009.74,4583.59,4427.18,4237.44,3831.79,4185.64,4603.59,4723.08,4298.46,4075.9,4435.9,4523.08,4271.79
,4670.77,4010.77,4581.03,4421.54,4249.23,3835.9,4186.67,4604.1,4722.56,4303.59,4081.54,4432.31,4526.67,4271.79
,4663.08,4004.62,4577.95,4412.82,4251.28,3840.51,4184.62,4599.49,4720,4299.49,4075.38,4432.31,4522.56,4262.56
,4658.97,4003.08,4576.92,4405.64,4251.28,3846.67,4184.62,4598.97,4722.56,4297.95,4065.64,4437.95,4520.51,4259.49
,4663.08,4007.18,4577.44,4405.13,4258.46,3844.62,4184.1,4605.13,4730.26,4303.08,4073.85,4441.03,4529.23,4267.18
,4669.74,4011.79,4578.46,4400.51,4263.59,3832.82,4183.59,4607.69,4736.92,4308.72,4081.54,4436.92,4538.46,4279.49
,4673.33,4015.9,4575.38,4394.87,4266.15,3831.28,4181.54,4603.08,4732.31,4307.18,4075.38,4432.31,4540.51,4284.62
,4676.92,4018.46,4573.33,4400,4270.26,3834.36,4173.33,4601.03,4728.21,4304.62,4076.41,4429.23,4543.08,4281.54
,4676.92,4014.36,4574.87,4402.05,4270.26,3824.62,4164.62,4601.03,4730.77,4301.03,4077.44,4428.21,4545.13,4281.03
,4672.82,4010.26,4579.49,4393.33,4269.23,3816.92,4162.05,4596.92,4730.26,4302.05,4071.28,4433.33,4543.59,4288.21
,4678.46,4023.08,4586.67,4398.97,4280,3827.18,4164.1,4601.54,4734.87,4312.82,4081.54,4439.49,4551.79,4300.51
,4690.26,4033.33,4594.87,4412.31,4289.23,3830.77,4170.26,4613.85,4748.72,4322.56,4097.95,4435.9,4562.05,4308.72
,4687.69,4022.56,4588.72,4403.59,4284.62,3817.95,4167.69,4606.67,4748.21,4318.97,4089.23,4417.44,4556.41,4302.05
,4681.03,4014.36,4579.49,4393.33,4282.05,3815.38,4161.03,4596.92,4738.97,4310.77,4074.87,4405.64,4554.36,4295.9
,4684.1,4018.97,4584.62,4397.95,4290.26,3822.05,4163.59,4608.72,4746.67,4315.9,4081.03,4410.77,4567.69,4300.51
,4689.23,4016.92,4588.21,4397.44,4294.36,3818.97,4161.03,4613.85,4753.33,4321.03,4089.23,4408.21,4577.95,4303.59
,4687.69,4009.23,4583.59,4394.36,4291.28,3814.36,4152.82,4602.56,4748.21,4316.92,4088.21,4395.38,4585.13,4306.15
,4680.51,4007.69,4577.44,4396.92,4291.28,3814.36,4151.28,4601.03,4746.15,4311.28,4085.13,4385.64,4586.67,4305.13
,4672.82,4005.13,4569.74,4392.82,4294.36,3810.26,4147.18,4602.05,4742.05,4303.59,4080.51,4373.33,4575.9,4295.9
,4669.23,4006.67,4570.77,4387.69,4293.85,3806.15,4141.54,4595.38,4731.28,4299.49,4073.33,4364.62,4569.74,4291.28
,4669.74,4012.31,4576.92,4395.38,4293.33,3804.1,4144.62,4597.44,4734.87,4305.64,4070.77,4366.67,4576.92,4294.36
,4673.85,4009.74,4576.92,4405.13,4293.85,3805.13,4149.74,4603.59,4746.67,4311.79,4079.49,4367.69,4582.56,4295.9
,4673.85,4004.1,4576.92,4403.59,4294.87,3807.69,4145.13,4600,4747.18,4308.72,4086.67,4361.03,4581.54,4293.33
,4665.64,4006.67,4577.95,4401.54,4296.92,3805.64,4140,4598.97,4746.15,4308.21,4078.97,4358.97,4576.92,4295.9
,4661.54,4005.64,4576.92,4409.74,4297.44,3801.03,4140.51,4603.59,4750.77,4310.77,4069.23,4362.56,4572.82,4296.41
,4662.05,3995.9,4577.44,4412.82,4295.38,3800.51,4135.9,4600,4750.26,4306.67,4071.28,4361.54,4566.67,4287.18
,4652.31,3988.21,4576.41,4406.15,4293.33,3798.46,4125.13,4594.36,4749.23,4303.59,4075.38,4351.28,4555.38,4275.9
,4648.21,3986.15,4575.9,4405.64,4292.82,3793.33,4121.54,4598.97,4760.51,4306.67,4076.41,4347.69,4548.21,4276.92
,4658.46,3986.67,4583.59,4410.77,4292.82,3790.26,4126.67,4599.49,4766.15,4309.74,4082.05,4356.92,4551.28,4288.72
,4666.67,3987.18,4594.87,4416.92,4292.82,3789.23,4124.62,4589.23,4756.92,4308.21,4083.59,4363.59,4557.95,4299.49
,4673.85,3989.23,4600.51,4426.67,4294.36,3789.23,4121.03,4584.62,4750.26,4309.74,4082.56,4359.49,4564.1,4305.64
,4677.95,3990.77,4601.03,4428.21,4295.38,3787.69,4121.03,4589.74,4754.87,4312.31,4088.72,4353.85,4570.77,4310.77
,4671.28,3986.67,4599.49,4423.59,4293.85,3783.59,4118.46,4589.23,4764.1,4314.36,4093.85,4355.9,4572.82,4311.79
,4670.26,3990.77,4600.51,4425.64,4295.9,3785.13,4114.87,4586.15,4764.1,4320,4096.41,4363.08,4572.82,4303.59
,4675.9,3998.97,4607.18,4428.21,4297.44,3787.69,4108.21,4585.64,4753.33,4320.51,4098.46,4365.64,4572.31,4296.92
,4671.79,3993.85,4609.23,4432.82,4293.85,3778.97,4098.46,4581.03,4743.59,4310.77,4096.92,4361.03,4571.79,4306.67
,4671.79,3991.28,4607.18,4442.56,4296.92,3773.85,4097.44,4578.46,4745.64,4307.69,4098.97,4360,4571.28,4320.51
,4681.03,4000.51,4611.79,4448.72,4304.62,3783.08,4105.13,4584.1,4754.36,4319.49,4107.69,4364.62,4575.38,4327.69
,4682.05,4000.51,4617.44,4455.9,4300.51,3783.59,4102.56,4589.23,4757.95,4327.69,4107.18,4364.62,4580.51,4327.18
,4676.92,3990.26,4621.54,4460.51,4294.36,3769.74,4090.77,4585.13,4756.92,4322.05,4105.13,4363.08,4577.95,4316.92
,4676.92,3988.21,4624.1,4460,4297.44,3763.59,4087.69,4582.56,4758.46,4316.41,4115.38,4369.74,4572.82,4311.79
,4678.97,3992.31,4623.08,4461.54,4298.97,3771.79,4093.85,4588.72,4766.15,4323.59,4124.62,4374.87,4574.87,4320.51
,4671.28,3987.18,4618.97,4458.46,4296.41,3770.77,4090.77,4585.64,4766.67,4325.64,4122.05,4365.64,4573.85,4322.56
,4657.95,3976.92,4612.31,4449.23,4292.31,3757.44,4078.97,4570.77,4752.82,4312.31,4119.49,4356.41,4566.67,4314.87
,4654.87,3973.33,4611.28,4452.82,4289.74,3750.26,4073.85,4566.67,4748.21,4306.15,4122.05,4364.1,4568.21,4317.95
,4660.51,3974.87,4612.31,4456.92,4289.74,3753.85,4077.95,4573.85,4762.05,4312.82,4125.13,4375.9,4573.33,4323.59
,4661.54,3974.36,4610.26,4451.79,4293.33,3754.36,4080.51,4572.31,4767.18,4314.36,4130.26,4378.46,4571.28,4310.77
,4667.18,3983.59,4618.46,4456.41,4299.49,3752.82,4079.49,4569.23,4756.41,4310.77,4136.41,4383.08,4572.82,4304.1
,4676.41,3993.33,4630.77,4465.13,4301.54,3754.36,4077.44,4573.33,4750.26,4312.31,4138.97,4383.59,4578.46,4324.1
,4671.28,3983.08,4624.1,4458.46,4296.41,3749.23,4069.74,4569.74,4749.23,4310.26,4134.87,4371.79,4572.82,4334.36
,4662.05,3978.97,4613.33,4454.87,4294.87,3745.13,4067.69,4564.62,4747.18,4306.67,4132.31,4367.18,4564.62,4321.03
,4669.23,3991.79,4619.49,4467.69,4298.46,3751.28,4074.36,4568.21,4750.26,4310.26,4136.41,4378.46,4569.74,4319.49
,4677.44,3994.36,4625.64,4476.92,4298.97,3755.38,4081.03,4571.79,4750.77,4312.31,4140.51,4394.87,4576.92,4329.74
,4673.85,3987.69,4621.54,4473.85,4298.46,3752.31,4084.1,4576.41,4750.26,4308.21,4141.03,4403.08,4572.82,4323.59
,4670.77,3990.26,4622.05,4470.77,4303.08,3753.85,4088.21,4584.1,4757.95,4311.28,4141.54,4401.03,4566.67,4319.49
,4675.9,3993.85,4626.15,4475.9,4307.18,3761.03,4091.79,4586.67,4765.64,4320.51,4143.08,4401.54,4570.77,4330.77
,4673.33,3989.74,4618.97,4470.26,4305.64,3762.56,4092.82,4582.56,4764.62,4319.49,4139.49,4403.59,4571.79,4329.74
,4663.08,3985.64,4614.87,4456.92,4302.05,3756.92,4093.85,4580.51,4762.05,4313.85,4139.49,4399.49,4565.64,4321.54
,4671.79,3986.15,4629.74,4467.69,4304.1,3755.9,4095.9,4583.59,4765.13,4320,4139.49,4401.54,4570.77,4332.82
,4688.21,3990.26,4638.97,4475.38,4311.28,3766.15,4102.05,4587.18,4768.72,4327.18,4123.08,4413.33,4585.64,4347.18
,4682.05,3989.23,4629.23,4455.9,4311.28,3771.79,4106.15,4587.18,4767.18,4323.59,4097.95,4412.82,4584.62,4338.46
,4667.69,3981.03,4622.05,4445.64,4309.23,3768.72,4104.62,4585.13,4765.64,4320.51,4088.72,4400.51,4572.82,4330.26
,4668.21,3977.44,4626.15,4458.97,4312.31,3771.28,4109.74,4585.64,4768.21,4324.62,4091.79,4399.49,4570.77,4335.38
,4670.77,3969.23,4623.59,4462.05,4311.79,3772.31,4115.38,4583.59,4766.67,4325.13,4090.77,4403.08,4571.79,4334.87
,4668.21,3958.97,4615.9,4454.87,4308.72,3769.23,4111.79,4579.49,4760.51,4318.97,4085.13,4401.03,4567.18,4333.33
,4670.77,3961.54,4615.9,4458.46,4308.72,3770.77,4107.69,4581.54,4757.95,4317.95,4084.62,4398.46,4566.15,4335.38
,4677.44,3967.18,4618.46,4464.1,4311.28,3776.92,4110.77,4584.62,4756.41,4320,4088.21,4396.92,4565.64,4330.77
,4672.31,3961.03,4611.28,4454.87,4309.23,3773.33,4108.21,4582.56,4750.77,4315.38,4081.03,4391.28,4558.46,4324.1
,4662.56,3952.82,4604.1,4443.59,4307.69,3770.77,4107.69,4579.49,4745.13,4310.26,4073.85,4387.69,4552.82,4322.56
,4667.69,3962.56,4610.77,4455.38,4311.28,3781.03,4120,4584.62,4754.87,4318.46,4082.56,4394.36,4556.92,4325.64
,4673.33,3972.82,4613.85,4465.64,4313.33,3787.69,4123.59,4589.74,4766.15,4325.13,4089.23,4397.44,4556.41,4325.64
,4665.64,3964.62,4602.56,4452.31,4310.26,3783.08,4110.77,4586.15,4756.92,4320.51,4086.67,4392.31,4550.77,4324.1
,4663.08,3957.44,4598.97,4449.23,4308.21,3781.03,4106.67,4584.62,4751.79,4322.05,4089.23,4394.87,4553.33,4326.15
,4668.21,3965.64,4609.74,4462.05,4308.72,3778.97,4111.79,4586.67,4758.97,4328.21,4093.33,4400.51,4557.44,4327.69
,4666.15,3971.28,4613.33,4462.05,4309.23,3772.31,4110.26,4586.15,4761.03,4327.69,4092.31,4397.95,4556.41,4326.67
,4663.08,3966.67,4608.21,4456.41,4310.77,3771.79,4107.18,4583.59,4758.46,4327.69,4093.85,4393.85,4554.87,4327.18
,4661.54,3965.64,4602.05,4453.85,4310.77,3774.36,4107.69,4576.92,4755.38,4324.62,4092.82,4393.33,4554.36,4326.67
,4658.46,3966.67,4597.44,4450.26,4309.23,3768.72,4103.59,4568.21,4748.21,4313.33,4089.23,4390.77,4552.31,4322.05
,4654.36,3952.31,4597.44,4438.97,4309.23,3772.82,4103.08,4573.85,4745.64,4311.28,4090.77,4391.28,4545.64,4319.49
,4645.13,3930.77,4595.38,4429.23,4312.82,3786.67,4115.9,4589.23,4757.44,4323.59,4092.82,4394.87,4540.51,4317.44
,4642.05,3934.87,4590.26,4431.79,4316.41,3787.69,4124.62,4589.23,4763.59,4323.08,4086.15,4391.79,4537.44,4311.28
,4653.33,3962.05,4591.28,4444.1,4318.46,3783.08,4121.54,4586.67,4763.59,4317.44,4082.56,4389.23,4536.41,4308.21
,4657.95,3978.46,4597.95,4453.85,4320.51,3783.59,4120.51,4596.41,4765.64,4325.64,4091.28,4388.72,4538.97,4308.21
,4644.62,3982.05,4593.85,4452.31,4319.49,3783.59,4119.49,4595.38,4760.51,4325.64,4091.79,4383.59,4536.41,4299.49
,4632.31,3988.21,4579.49,4448.72,4318.97,3782.56,4110.77,4586.67,4753.33,4313.33,4078.46,4372.31,4526.15,4283.59
,4628.72,3995.9,4573.85,4452.82,4323.59,3784.1,4105.13,4584.62,4749.23,4308.21,4067.18,4365.13,4515.9,4269.74
,4625.13,4004.62,4580.51,4460,4325.13,3779.49,4105.13,4577.95,4742.05,4303.59,4062.05,4358.97,4507.18,4263.08
,4625.64,4010.77,4587.18,4461.03,4320,3772.82,4105.64,4566.15,4729.74,4293.33,4057.95,4354.87,4501.03,4260.51
,4626.67,4006.67,4587.69,4457.95,4317.44,3769.74,4103.59,4567.69,4726.67,4291.28,4057.44,4360.51,4501.03,4258.97
,4619.49,4004.1,4582.56,4460,4321.03,3768.21,4098.97,4573.33,4731.79,4295.38,4056.92,4356.41,4498.97,4258.46
,4615.38,4007.18,4578.46,4461.54,4319.49,3769.74,4099.49,4569.74,4730.77,4293.85,4053.85,4343.59,4493.33,4258.46
,4617.44,4003.08,4577.44,4459.49,4313.33,3769.74,4105.13,4567.18,4721.54,4288.21,4051.28,4342.05,4492.31,4260.51
,4616.41,3993.85,4575.9,4456.92,4314.36,3766.67,4102.05,4567.69,4717.44,4286.15,4047.18,4347.69,4493.85,4258.97
,4610.77,3992.82,4572.82,4455.38,4319.49,3767.69,4095.38,4566.15,4723.59,4288.72,4047.69,4347.18,4492.31,4253.33
,4609.74,3993.85,4570.77,4452.82,4318.97,3769.74,4098.97,4565.13,4723.59,4289.74,4047.69,4341.03,4491.28,4250.77
,4609.23,3989.74,4573.33,4447.18,4317.44,3770.77,4103.59,4567.69,4724.62,4289.74,4040.51,4337.44,4489.23,4251.79
,4603.08,3985.64,4572.31,4443.59,4318.97,3773.33,4108.21,4571.28,4731.79,4292.31,4038.46,4334.36,4483.08,4245.64
,4597.95,3980,4565.13,4444.62,4315.9,3776.92,4120,4571.79,4727.69,4293.85,4041.03,4330.26,4477.95,4242.56
,4597.44,3975.9,4563.59,4446.67,4312.31,3777.44,4125.13,4572.82,4718.46,4290.77,4038.97,4328.72,4476.41,4248.21
,4590.77,3971.28,4563.59,4440,4310.77,3773.33,4111.79,4570.26,4717.44,4283.08,4033.85,4326.67,4473.33,4242.56
,4584.1,3962.56,4558.97,4435.38,4306.67,3769.23,4102.05,4568.21,4720.51,4281.54,4030.26,4323.59,4472.31,4231.28
,4586.67,3957.95,4553.33,4441.03,4305.64,3769.23,4101.54,4568.72,4717.44,4284.1,4026.15,4322.05,4471.79,4229.23
,4586.15,3963.59,4549.74,4439.49,4305.64,3766.67,4093.85,4560,4709.23,4281.03,4021.03,4320,4462.56,4230.26
,4582.05,3959.49,4551.28,4427.18,4303.08,3761.54,4091.28,4551.28,4707.69,4278.97,4021.03,4320,4464.1,4231.79
,4584.62,3952.31,4553.85,4424.1,4303.08,3765.13,4098.46,4553.33,4711.28,4287.18,4026.15,4324.1,4471.79,4233.85
,4586.67,3962.05,4552.31,4435.38,4306.67,3768.21,4093.33,4557.44,4712.31,4292.82,4028.72,4321.03,4465.13,4234.36
,4587.69,3973.85,4556.41,4443.59,4309.23,3766.67,4090.26,4555.38,4713.33,4293.85,4027.69,4317.44,4463.08,4240.51
,4593.33,3974.36,4562.56,4438.46,4309.23,3768.72,4101.54,4554.87,4717.44,4296.41,4029.74,4322.05,4475.9,4249.74
,4593.33,3969.23,4558.97,4430.26,4308.21,3770.77,4106.67,4560,4718.46,4297.44,4032.31,4322.56,4477.44,4245.13
,4591.79,3965.64,4558.97,4434.36,4309.74,3769.23,4103.08,4569.23,4723.59,4301.54,4032.82,4320.51,4471.79,4233.85
,4595.9,3965.64,4564.1,4437.44,4310.26,3769.23,4107.18,4574.36,4729.23,4306.67,4033.85,4324.62,4476.41,4233.33
,4595.9,3969.23,4560,4432.82,4307.69,3769.74,4108.21,4571.79,4724.1,4306.67,4035.38,4328.72,4477.95,4235.9
,4594.36,3968.21,4556.41,4432.82,4309.23,3768.72,4104.1,4571.28,4719.49,4303.59,4034.87,4324.1,4475.9,4234.87
,4595.38,3963.08,4558.46,4431.79,4313.33,3768.21,4104.62,4572.82,4721.03,4301.54,4031.28,4317.95,4478.46,4235.9
,4589.23,3966.15,4556.41,4432.31,4311.79,3768.21,4103.59,4571.79,4720,4302.56,4028.21,4313.85,4477.44,4241.03
,4586.67,3971.28,4551.79,4436.41,4310.77,3768.21,4104.62,4576.92,4719.49,4306.15,4026.15,4310.77,4471.79,4244.1
,4596.92,3971.79,4557.44,4436.41,4313.33,3774.36,4115.9,4584.62,4723.08,4309.23,4029.74,4313.33,4474.36,4244.1
,4602.05,3973.33,4564.62,4436.92,4312.82,3782.05,4123.08,4586.15,4723.59,4309.74,4034.87,4320,4481.54,4245.13
,4600,3974.36,4563.08,4443.59,4310.77,3783.59,4123.08,4585.13,4721.03,4309.23,4037.95,4326.15,4484.1,4246.15
,4603.08,3972.82,4559.49,4445.13,4312.82,3781.03,4120.51,4585.64,4723.08,4309.23,4040,4328.72,4486.15,4247.69
,4607.18,3971.79,4564.1,4443.59,4311.79,3777.44,4115.9,4585.64,4722.56,4307.18,4044.62,4328.72,4487.18,4252.82
,4611.28,3973.85,4574.36,4449.23,4309.74,3774.87,4116.41,4584.62,4719.49,4308.21,4047.69,4332.31,4487.69,4262.05
,4616.92,3975.9,4573.33,4450.26,4311.28,3775.38,4120.51,4584.1,4720,4309.23,4045.13,4332.82,4492.82,4270.26
,4614.87,3975.9,4561.54,4445.64,4312.82,3777.44,4112.82,4581.03,4719.49,4301.03,4037.44,4325.64,4491.28,4264.62
,4610.77,3974.87,4558.46,4442.56,4309.23,3774.36,4102.56,4581.03,4716.41,4295.38,4032.82,4323.08,4478.46,4248.72
,4608.72,3974.36,4562.05,4441.54,4309.74,3774.87,4110.26,4584.62,4716.92,4302.05,4037.44,4329.23,4477.95,4250.26
,4610.77,3976.92,4562.05,4444.62,4317.44,3782.05,4119.49,4586.67,4721.54,4305.64,4040.51,4330.77,4491.28,4261.03
,4612.31,3976.41,4562.56,4446.67,4321.03,3788.21,4122.56,4589.23,4725.64,4306.15,4037.95,4324.62,4489.23,4255.9
,4605.64,3971.79,4560.51,4444.62,4315.9,3786.15,4121.54,4588.21,4721.54,4305.64,4034.87,4317.95,4473.85,4243.08
,4601.54,3977.95,4556.41,4447.69,4310.77,3782.05,4115.38,4583.59,4715.38,4297.95,4033.85,4316.92,4474.87,4244.62
,4611.28,3987.69,4559.49,4457.95,4313.33,3784.62,4117.44,4585.13,4718.46,4297.95,4037.95,4322.56,4490.77,4251.28
,4613.33,3982.05,4563.08,4460,4318.97,3789.23,4121.03,4587.69,4725.64,4307.18,4041.03,4330.26,4492.31,4253.33
,4602.05,3971.28,4554.87,4455.9,4314.36,3784.62,4113.85,4585.13,4725.13,4305.64,4036.92,4327.18,4478.97,4248.72
,4600.51,3972.82,4549.23,4455.38,4309.74,3777.95,4109.23,4583.59,4726.15,4303.59,4031.79,4320.51,4473.33,4237.44
,4608.21,3976.41,4558.46,4453.85,4312.82,3781.03,4112.82,4585.64,4728.72,4308.72,4032.82,4322.56,4476.92,4235.9
,4609.74,3974.87,4564.62,4455.9,4315.38,3787.18,4113.33,4584.62,4726.67,4311.28,4035.9,4332.31,4477.44,4248.72
,4608.21,3973.33,4560.51,4454.36,4312.82,3784.1,4110.26,4585.13,4727.18,4309.74,4036.92,4343.08,4475.38,4252.31
,4605.64,3971.79,4556.41,4448.72,4309.23,3777.95,4107.18,4583.08,4728.21,4305.13,4035.9,4348.21,4473.33,4237.95
,4602.56,3971.79,4555.9,4455.38,4310.77,3783.59,4106.15,4576.92,4724.1,4302.05,4033.33,4348.21,4473.33,4228.72
,4598.46,3971.79,4551.79,4455.9,4311.28,3786.15,4107.18,4570.77,4718.97,4303.59,4029.23,4347.18,4474.87,4236.41
,4596.41,3968.21,4548.21,4444.1,4305.64,3777.44,4106.67,4569.23,4717.44,4302.05,4029.23,4345.13,4472.82,4246.15
,4597.95,3966.67,4551.79,4447.69,4302.56,3775.9,4106.67,4576.41,4724.62,4300,4035.38,4349.74,4472.82,4249.23
,4601.03,3974.87,4557.44,4463.08,4306.15,3785.13,4107.69,4583.08,4734.36,4305.13,4040.51,4357.95,4476.41,4250.26
,4598.97,3970.26,4558.97,4462.56,4307.69,3788.21,4110.26,4582.56,4735.9,4311.79,4043.08,4363.59,4478.46,4251.79
,4595.9,3952.31,4559.49,4454.87,4305.13,3786.15,4118.97,4584.1,4734.36,4314.36,4046.15,4370.77,4478.46,4248.72
,4599.49,3961.03,4559.49,4460,4304.62,3785.64,4118.97,4580.51,4733.85,4308.21,4044.1,4373.33,4472.31,4248.21
,4607.18,3992.31,4558.46,4470.77,4300.51,3780,4103.08,4568.21,4723.08,4294.87,4034.87,4367.18,4460.51,4250.77
,4613.85,4003.59,4563.59,4475.9,4295.9,3770.26,4097.44,4564.62,4714.87,4290.77,4031.79,4369.23,4455.9,4251.28
,4615.38,3996.92,4565.64,4474.87,4297.44,3767.69,4104.1,4570.77,4719.49,4295.38,4034.87,4378.97,4456.92,4250.77
,4610.26,3993.33,4560.51,4474.36,4298.46,3774.36,4105.13,4568.21,4722.56,4295.9,4035.9,4380.51,4456.41,4246.67
,4604.62,3992.82,4558.46,4473.85,4298.97,3784.62,4106.67,4566.67,4724.1,4295.38,4037.44,4380.51,4454.87,4239.49
,4603.59,3991.79,4560.51,4471.28,4298.97,3784.62,4108.72,4569.74,4726.67,4298.46,4032.31,4383.08,4452.31,4233.33
,4595.9,3981.54,4555.9,4471.28,4296.41,3774.36,4105.64,4567.69,4721.54,4292.82,4022.56,4376.41,4442.05,4229.74
,4585.13,3971.79,4548.21,4471.79,4293.33,3774.87,4109.23,4565.64,4714.36,4285.64,4022.56,4369.74,4432.82,4228.21
,4591.28,3980,4551.28,4471.28,4294.36,3786.15,4120,4569.23,4719.49,4289.23,4029.23,4376.92,4434.87,4230.26
