condition,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
1,-3676929.8933895356,-31175673.415618055,2225731.271096079,-11727080.645389032,-4969671.878901777,6788663.561543222,6871387.47251702,9694060.947866162,-2017756.7238746942,12756703.685817176,19426911.09244324,-47109906.65495481,28415033.401717477,14498527.779127542
1,-5622206.192368247,-30123992.267569114,1355559.6892675892,-12867445.72459509,-7103360.951267018,8491611.936897775,6670423.996581922,11620168.751198363,387939.0655500499,12543496.104077801,18952356.789383646,-44561769.15923378,28116096.42029776,12141121.541778347
1,-8108774.433596697,-30045475.708177134,315874.40429944097,-13646039.927003816,-7865211.836367145,9811941.594827047,7552922.756813619,14620999.982618134,3188234.180285119,13262083.341222074,17416717.419602077,-41783873.84470006,27122082.102719843,8158519.9674574975
1,-10332144.707561895,-30604409.290622905,-595058.1898113588,-13176897.497157136,-6741061.039424463,10378625.46508325,8706400.154652702,17686711.513442494,5449883.968318777,14498165.89159386,15530419.572743075,-40027043.98881999,25788872.175319165,3437535.9722444327
1,-11733767.222832933,-31189791.480445355,-1309932.8996680062,-11507452.348607285,-4180561.5588285103,10053292.326728504,9357494.724557653,19857254.415192824,6511102.98067341,15785052.366237925,14173313.797042679,-39887969.51628265,24744248.616140287,-672284.1999085569
1,-12112783.683429373,-31232287.90289659,-1907954.0161753346,-9623059.200874954,-1379743.1458585565,8937306.742211273,9069136.863593439,20562228.622436315,6260440.73559202,16783390.83756704,13995140.829415385,-41107234.59267811,24581318.232535448,-2825900.3214380043
1,-11543074.43026783,-30459163.883581243,-2429709.6960013174,-8862275.139985397,346647.3199502638,7301921.123340375,7825961.875270035,19735364.835780807,5124417.608688166,17347483.248997375,15101902.776937526,-42809202.00473838,25521982.448850922,-2202256.0832412983
1,-10204442.523788478,-28958133.294188365,-2730676.2967268922,-10067905.650613677,252776.86662292082,5490403.600928474,5934795.0929660285,17703752.456741646,3785469.5493113925,17475086.087083407,16971692.881362207,-44020038.47648354,27245709.50027308,1121510.2065117906
1,-8263823.344804567,-27046904.57025948,-2488762.026537198,-12966405.922529388,-1464957.9287642548,3831255.6149779973,3851330.673307806,14962174.28854843,2793836.7326526386,17204071.851188414,18650077.51477221,-44170304.593967006,28999097.12078321,6109314.590631185
1,-5878056.270413283,-25060318.171884794,-1382538.662990905,-16159122.98555347,-3797622.955759267,2577534.7273362637,2039652.8457151097,11973164.453527264,2286663.841168275,16539940.87823358,19154559.638051737,-43326317.666399166,29949034.466983814,11083425.86198483
1,-3284285.4435329637,-23199612.78373642,657763.715457382,-17776888.620546535,-5465068.905125562,1870204.6855861945,899990.053150725,9080027.430454712,1960689.3822169625,15464587.096966276,17920569.10859388,-42064867.184243694,29602315.03628227,14334576.428476768
1,-871499.1805975408,-21523430.484379835,3283967.5906678834,-16474711.841245838,-5564413.040229228,1721715.2113704376,726747.6355899485,6527372.7439223835,1301280.2618471454,14012625.62992496,15092290.708936265,-41102873.14087717,28069451.640830617,14801476.264239976
1,863904.1155134912,-20048043.097840577,5770903.2417285945,-12234216.777816927,-3987047.397316445,2022169.573900238,1641948.1987459392,4513705.711168649,-69696.82422364235,12348670.834827382,11518483.140571611,-40906498.85453852,26029513.737104658,12536204.398175556
1,1491865.8539398427,-18845976.1228424,7275098.02181102,-6519698.515962548,-1413714.2221666959,2571804.6119214315,3498837.547846829,3195378.8487299955,-2125764.7676090566,10771986.705703812,8437136.995786397,-41481689.60519282,24412773.449994233,8731961.198039964
1,864687.8572735054,-18043362.021074444,7196881.895940712,-1664542.7243890408,1069205.9828503358,3135183.1857982455,5821855.572331447,2618666.4373263502,-4397219.593494199,9619976.792995056,6972105.68421628,-42421600.521825224,23967691.021041796,5260470.431009181
1,-759795.6900820512,-17707768.526581682,5466248.524917181,226912.3951701364,2503420.6556737837,3501112.5979162194,7876307.521592342,2633027.4561987394,-6182596.503138817,9111565.402148303,7656673.233265185,-43142122.50141652,24934126.946715053,3882888.487622123
1,-2783746.6833921806,-17720941.695440322,2604300.5886731446,-1688079.339218001,2468246.247398967,3528934.2445671987,8906666.321647251,2876845.0652455417,-6893883.201216919,9220930.12381788,10197106.333099043,-43157683.30090797,26977947.784286607,5463357.511439764
1,-4513782.11469107,-17763973.196547892,-477015.19480192504,-6551163.125525879,1191207.9156358188,3171141.9539480796,8470135.05407361,2895001.4255122566,-6349134.930169147,9667050.3505341,13588270.795109205,-42266176.97816729,29396009.33475762,9542428.710332511
1,-5466309.769305858,-17472029.29342677,-2844120.3018375174,-12184283.659117894,-644335.8818018567,2477039.9134058002,6696199.744115283,2361018.5052940394,-4858946.921202125,10043421.477525655,16535698.22017323,-40591931.302167475,31460188.825974137,14488390.442371355
1,-5571926.525982642,-16684170.200140998,-3906668.329162305,-16102445.260412533,-2256197.832098661,1588482.2018929885,4299868.327770081,1290237.0769073328,-3067478.359434088,10028665.292119924,17996882.957527693,-38515363.826863125,32712298.613952704,18187815.86392362
1,-5167277.382181129,-15615158.453229051,-3613925.075767523,-16652532.029368129,-3098121.353711437,729285.8870868804,2289143.1457662014,105263.808710141,-1639481.3904938623,9562995.52593445,17597918.980611436,-36550083.545900345,33073934.875431675,18978037.00711069
1,-4779824.06427464,-14792635.196215073,-2408376.8708680007,-13721087.917416282,-3033781.804494268,173323.33318184048,1481674.8768555953,-522378.02732141933,-960782.2124320269,8884701.204500206,15739759.174429616,-35210802.71281064,32756929.553414304,16393280.663450789
1,-4826474.805798435,-14742869.382072147,-981492.603422095,-8686596.017682463,-2310393.72037704,172155.25982070158,2077219.0520201148,-6983.768109665663,-1002448.0572808463,8394958.499462293,13355294.349352581,-34884030.55505863,32072497.609738216,11369164.139407424
1,-5392602.531857201,-15590426.34814743,37899.67126385245,-3680112.0526755475,-1383339.3780585616,844363.6101986843,3531369.695317838,1802572.8471651534,-1402564.4918819275,8418529.297706228,11443090.575620078,-35706107.855142,31273533.990314394,5803792.9701764425
1,-6207390.522245185,-16837410.70839067,319398.690270622,-556223.5036884219,-689511.0928261421,2067291.6416990047,4826605.734416298,4456591.653872492,-1700841.2602809907,8994345.396693673,10605216.694883231,-37477335.48142138,30511597.674118724,1687665.0828987523
1,-6816574.013365316,-17520647.88626684,-95854.75576449299,-92761.18016410754,-464419.03426319617,3440270.5755585227,5015122.850687255,7039829.7843845645,-1586261.5981219076,9821645.340317246,10805936.347483564,-39667994.558660604,29893165.991794717,228542.1363805906
1,-6843744.945708719,-16727560.496256864,-884592.3317255959,-1784835.1465969165,-664661.6734500772,4377855.305949569,3742178.624877286,8571296.965818265,-1025107.0991942477,10404212.876941396,11452607.70823437,-41561617.44643516,29548359.573499646,1395608.0840470558
1,-6189629.092697392,-14206224.071092108,-1623126.367867146,-4272116.49247382,-1014051.0847668101,4333700.352673648,1453088.7653297703,8480031.326388614,-216643.85271796124,10321553.950025894,11739524.83726243,-42518051.7897422,29626168.004680723,4085775.5149963647
1,-5064785.18472738,-10691623.256193427,-1967844.5771554466,-6118356.570443328,-1150043.6743521718,3074130.422834873,-844189.8587872906,6909018.87975438,573035.5173093631,9476355.906076275,11070351.451041847,-42254357.586912684,30198350.399729922,6789958.131825068
1,-3852582.57740531,-7683201.046550151,-1764871.8213111171,-6513895.706695566,-811488.6166953583,863426.9218060111,-2136968.967904221,4673291.417889994,1182471.8712593187,8170982.904879194,9346216.472743008,-40996056.124523126,31139312.06902563,8383363.203481697
1,-2894324.1635387638,-6708104.990928335,-1067142.37623121,-5558079.600514922,13559.771455603637,-1563973.6831303712,-1974012.073436149,2872630.175517183,1622763.004308261,6955351.844145244,6985429.870060082,-39391757.01048959,32089561.131344303,8618098.101438666
1,-2323484.4642400127,-8425721.08544261,-79719.81544545623,-4032992.8680767003,1056012.9548007562,-3275951.2740048557,-717655.4191315394,2342981.11672429,2006637.1516433605,6317670.859459801,4683324.004121847,-38204136.173414156,32572698.32147047,8080336.691534809
1,-2035856.0021143956,-12075889.756735617,926801.8979938184,-2853103.0164645077,1882596.481213394,-3559502.0654115435,662282.9302639425,3223563.2466783067,2395611.747324141,6385843.722007959,3051848.845834704,-37924632.86672126,32238383.531066183,7682051.305064876
1,-1796130.7579954194,-15637384.770591915,1699933.905120432,-2521891.0332427644,2121286.948599787,-2284848.3038249034,1133604.5265615312,4865668.237219173,2675958.0640154397,6813177.739104676,2331634.1658790614,-38522046.193781644,31106592.26400236,8014445.208934184
1,-1403367.8297800554,-16698231.686833644,2067264.112084061,-2883182.104953943,1686609.3627232916,-21113.332060436853,173190.57557652052,6138312.620878169,2557482.2129872288,6928624.872462831,2320469.8014769596,-39475785.58009161,29657550.330078207,8952176.645452427
1,-813498.3621384758,-13639690.332313746,1971301.7475815178,-3266047.007030433,875402.1216315465,2182010.197308436,-1957809.1282533791,5983933.576590232,1713705.992125747,6087064.870318961,2541085.376043307,-40086139.036910236,28676137.303879857,9732542.68116667
1,-155831.24550509956,-6529631.844888923,1476190.0688890095,-2903776.58958822,256494.73054015433,3264762.988900202,-4380103.601043122,3950062.184137421,-5919.266688480435,4038864.8496748772,2543153.887981853,-39887010.481695205,28890512.761930324,9442231.55735521
1,348063.42569078685,2762147.174306241,745112.0152856391,-1377043.5510138902,387564.124457531,2661912.879155469,-6090963.616555186,436324.4413484093,-2410266.110536703,1117093.7472411746,2166218.462523152,-38916244.45913693,30569859.34817062,7600222.119063694
1,498669.7129530778,11324697.17191412,-9939.172518281757,1154064.1647285314,1501245.2257044625,594798.006627806,-6490766.11595087,-3459023.845953541,-4948854.52318177,-1869315.2833943085,1615792.4372840202,-37676659.5241059,33291155.449575853,4474136.296316804
1,194102.6043736044,16485732.90794652,-595572.1809255739,4030603.6215185584,3341388.59316773,-1996618.8144668976,-5641944.1640235055,-6410641.168632547,-6870862.4563527275,-3993814.158772314,1309211.9433757002,-36807081.4824203,36017567.41585821,937927.3393535519
1,-565561.7415310206,16981005.041812588,-901002.8361282116,6420192.237275505,5263670.22146493,-3852358.816588163,-4135312.7476784335,-7424556.865644539,-7499819.609901971,-4643647.181280117,1575464.8129523285,-36664855.356956676,37481334.78622061,-2034551.9440168305
1,-1723393.7925733803,13442559.995069569,-934424.7767768564,7705307.594290802,6569477.521329193,-3931408.6586504276,-2678288.0357763055,-6224440.450077086,-6503363.2955420725,-3803489.5510963444,2377193.3715781434,-37084061.48632237,36708753.5518288,-3920421.9872816657
1,-3208124.168556087,7990892.10943422,-815062.264284128,7742377.344082753,6898533.322238077,-1839382.0043055958,-1675968.7463965684,-3304573.2459331034,-4036825.7293392904,-2044792.7038677926,3219040.9732681583,-37472014.54430057,33446189.130171064,-4900289.472211133
1,-4935296.118497176,3172647.814721816,-721063.3612687453,6883197.321982182,6452949.3516675355,2040764.1607535493,-1058144.0301911237,345576.523815952,-695423.9648558176,-226412.53432382646,3314912.247054515,-37197531.68899797,28286834.023466103,-5663009.745326993
1,-6772325.753050933,798218.91021626,-812205.362914945,5773389.369798272,5905325.387137026,6747900.371613182,-433425.97378748836,3691605.7197484556,2706845.5535314833,939091.7224944514,1952417.6135062026,-36034950.331534564,22438503.463880353,-6900390.690637746
1,-8512225.945958667,1244899.5653854806,-1158376.5428572057,5041824.016156165,6019896.912839879,11149233.585911715,559461.4891314724,6062421.7829770725,5441120.884313927,1231557.0143684985,-1116862.024210354,-34378165.71465059,17241643.436232828,-8826428.459640216
1,-9903293.4879539,3513904.520127223,-1704144.3642108492,5029176.504573421,7189100.250149429,14352144.090962531,1949925.2804955957,7342145.198768428,7127369.596218134,1006975.6324302977,-5460779.011604379,-33066828.543231126,13659206.15460536,-11034901.821330162
1,-10742243.898823762,5929166.303097154,-2286221.6201143526,5668669.355555659,9152391.050951842,15947433.10641862,3383198.729978493,7888524.161729811,7852309.325550491,979396.4999771331,-10051799.45491421,-32900924.82689716,11962935.348654406,-12782834.081164116
1,-10983021.419839129,7060127.261062587,-2699369.7237517196,6554060.105905515,11073555.689246915,16017076.31514168,4343786.134265273,8250813.619669812,8094813.365998473,1814236.218659656,-13641845.05685531,-34120374.79672458,11737949.195614023,-13501806.908393187
1,-10784455.772345275,6387754.120198214,-2785230.8600648395,7148398.384628276,11953300.60348436,14959320.607261328,4496996.313766816,8842729.66620152,8489589.085069107,3739721.0831412827,-15271388.691628426,-36168597.766461894,12174616.7299959,-13182753.50324636
1,-10444486.27571665,4419190.47181505,-2506318.1402704665,7035040.542494028,11159788.42804161,13254150.695020903,3916977.1311878967,9729652.028224152,9526968.579026686,6372473.520730524,-14681487.304591592,-37910044.18548373,12488982.759998262,-12360888.25047667
1,-10238654.822859373,2268576.146693266,-1970640.9129099594,6104992.086411672,8785511.312445182,11287516.331605498,3051577.4239315214,10620955.089430748,11316710.494729841,8846645.816987323,-12430328.444268325,-38211821.81989371,12268375.258723158,-11699413.961026838
1,-10253136.926760709,985919.7236628418,-1392495.6496531914,4607913.46589486,5630295.1700680675,9291689.186560147,2453929.8009798424,11055442.107271874,13522225.01930232,10188418.069480386,-9647853.69184845,-36578123.30880139,11592200.148099346,-11456423.114255952
1,-10325346.357157642,1004873.4515343824,-1004543.4574001144,3051449.233275835,2816397.163857561,7385451.188795695,2465498.9518545475,10677568.94970001,15502598.259856775,9761055.488587769,-7533251.302648746,-33475646.536265295,10897054.43605441,-11223159.47004519
1,-10152070.551309742,1972715.41582027,-961153.442915979,1993566.961655593,1244342.6091548093,5652149.299525394,3061615.4089500797,9462073.787860196,16607372.126605244,7573253.564497482,-6827280.708818755,-30145433.479347408,10678892.464358354,-10160043.456035538
1,-9519563.255761137,3003405.880635225,-1279151.366985874,1814746.6029334294,1181428.5830542427,4192468.8725255053,3952425.3059498314,7770342.901906119,16492043.905170143,4306766.848879962,-7509164.897673606,-27978081.72059147,11194071.980300428,-7621739.640342801
1,-8516348.618159425,3183681.106281542,-1844324.9464622329,2565254.8546226057,2193614.338478781,3121086.070972458,4851884.486968168,6202312.5857007755,15299986.919623017,1046892.6095069215,-8863343.951101305,-27777280.00404812,12307508.926229997,-3770924.3786131865
1,-7574293.590841137,2062015.7339575265,-2477715.074859848,3951583.9921648395,3437064.743956272,2516802.329360819,5709356.490550371,5308295.569977441,13608871.594764646,-1166753.9039936175,-9882858.1598766,-29309414.37549488,13553247.6444439,263797.00589026813
1,-7270524.855083661,-110869.55875230415,-3022523.3731510434,5465779.860206545,4132325.0131052528,2362440.641718931,6725431.231246053,5299634.194595149,12151315.100465631,-1770885.2136013692,-9810197.46912275,-31390516.86655264,14364747.478530493,2873843.8163957116
1,-7971081.518707382,-2484453.6672016117,-3400224.9662796427,6598193.727807563,3959751.775864307,2515117.526211508,8130276.927853868,5907626.268344934,11439809.62170179,-900121.4571516844,-8546236.830176143,-32474767.86891458,14351081.13150607,2875029.3291410054
1,-9519180.694947103,-3988952.437163344,-3603614.4733584663,7038984.578802288,3178601.273604452,2732793.3303558403,9883376.735381128,6476484.207589897,11490372.16624052,697887.2002189872,-6721038.871595596,-31438409.840870153,13477583.038845453,295113.78689609515
1,-11182585.407190023,-3816196.570606308,-3636721.6487551923,6783859.142160751,2437108.2982551367,2757771.8732575607,11530923.107472941,6263523.112479397,11804069.86865663,2013858.044415358,-5387833.812429778,-28147618.627988983,12061451.893176293,-3481609.272903781
1,-11950110.975397306,-1793339.287848212,-3451127.742489377,6108103.539838219,2407101.83704706,2430960.4106313065,12369269.390476609,4810701.044106229,11637475.701642357,2234385.3600620325,-5490032.014190617,-23515717.625028584,10587941.32645167,-6385610.965301384
1,-11064450.882957863,1505152.4035090893,-2936979.9626787957,5433320.579468391,3452271.354782079,1790374.2674785864,11858033.715011846,2202886.290280438,10434081.90369314,1096436.5326023914,-7365248.786223105,-19028753.75649346,9444175.179335704,-6821298.837808439
1,-8513017.83278456,4953638.367618789,-1993874.1570529954,5153287.421774285,5492011.93114255,1101745.1281414677,10036929.43862137,-927637.2133772671,8186551.039405614,-1022885.2067987146,-10532572.918948382,-15998476.95385698,8710442.459535608,-4646141.503420785
1,-5178348.207244109,7303742.158736341,-648260.8072109894,5491321.980348655,8094081.292362354,785610.0159923845,7657868.021797468,-3667794.86865721,5518764.856547353,-3318640.3860057513,-13869876.316076364,-14937057.819235638,8121810.082283881,-1353220.003638367
1,-2506388.616497635,7676052.803927162,862799.030152383,6433996.217014471,10702869.020823246,1245683.752654444,5891155.048110603,-5237139.68797301,3417054.0073382235,-4965460.415337408,-16098023.011686128,-15369403.084025828,7228045.906549448,718759.0289500258
1,-1812149.817648924,5916767.289046465,2120838.677546438,7744853.660582541,12858063.728974888,2656348.5911285263,5721689.189148242,-5341065.565271812,2731680.473076387,-5518876.488959581,-16342921.35765077,-16155245.983390931,5676931.654519342,-256914.05110081928
1,-3564870.267476862,2670199.2617668067,2688775.9344763383,9032201.187552437,14299086.643254492,4806748.914667835,7360664.464174936,-4283041.590754313,3707298.664976676,-5113409.724634189,-14514374.940811,-16121132.273926478,3475555.485874369,-4443701.759141047
1,-7044731.800088972,-868998.892032002,2339610.036220854,9841268.744008906,14943329.270368554,7096073.238981911,10023722.802012498,-2780328.478669674,5802404.356449274,-4362948.900624527,-11333816.981098054,-14650410.008332958,1084508.8161473232,-10089682.203343133
1,-10595044.815574922,-3426659.092201691,1220382.3470354967,9756235.834378315,14804464.97061229,8717124.985500962,12239882.230466157,-1585270.5478085466,7912917.053235346,-4020205.026952392,-8010530.6707498515,-11925338.208091417,-723342.1879900804,-14364616.871859666
1,-12385364.437280586,-4148409.879693893,-168242.47718663578,8509950.646703104,13933906.668414755,8972690.574956449,12558952.056504197,-1117269.1579155945,8898111.211716529,-4574725.0000666445,-5724105.17370857,-8725050.778784458,-1189212.2892670461,-14841231.964391604
1,-11316746.446375864,-2917632.877253141,-1203864.8038768359,6091178.935103243,12424117.437694741,7587988.400687796,10291274.937401712,-1300224.5213843677,8138311.012867119,-5998266.794791661,-5147051.0665375125,-5931787.323606652,70702.67126346478,-10787999.561192045
1,-7601809.094798022,-361071.94180991565,-1484046.597671313,2814693.3504608274,10448199.356929768,4862712.828597055,5882537.262626156,-1680923.7787600607,5830896.642670731,-7765809.918192232,-6208451.686385866,-4044249.400231506,2847757.1941196425,-3540434.2175552654
1,-2704352.0264558587,2448577.4691676414,-1087920.8623956847,-697591.1732511136,8275659.798028692,1570883.35269691,720558.4563287441,-1743509.4874209543,2870639.516461876,-9133343.139807427,-8182513.656662391,-2964435.7836458706,6381056.492664361,4246291.044291074
1,1347683.9114660935,4448303.485086456,-583589.7371360789,-3660440.1755629345,6222801.637438591,-1358517.0387765623,-3519848.152508473,-1227529.9805515327,385159.14447855914,-9519859.123061834,-10043640.511072667,-2142649.377600865,9644437.10862093,10007688.80918032
1,2931917.9348588455,4990229.951210557,-734642.3402076921,-5376206.338350649,4550779.556699277,-3227897.992826142,-5641869.149223217,-265063.20879910636,-820260.7856385702,-8792316.254258035,-10923687.135774663,-950100.5395666956,11746533.745790321,12512582.556085767
1,1589657.089725463,4026843.0988993337,-2036249.132204341,-5507013.12496362,3371891.8245232147,-3829841.5897820415,-5406008.859347714,731238.8953707687,-614784.7340927684,-7312173.311074181,-10475834.14036433,970043.9403160441,12254657.774655586,12237572.268338587
1,-1808126.5175157145,2022277.8584473825,-4335102.427409687,-4242824.514542102,2627603.3181854514,-3449611.6429749257,-3504707.6224028966,1345089.4110368977,478953.2233634334,-5734421.020911865,-8997751.833740693,3578611.8373467084,11295647.440714147,10724362.490403863
1,-5552243.245648489,-332898.74957327556,-6774001.172187972,-2263700.7240646044,2155725.0693814303,-2624018.676504987,-1098434.9520909842,1418492.708280466,1636675.705379172,-4680491.234334191,-7270002.9133672,6581033.468695984,9405114.482447201,9398750.23358745
1,-7966312.0827749865,-2445971.6818158375,-8141952.310596553,-482800.16822953767,1801840.8792216384,-1805554.253972782,794798.4780827651,1135370.9423957618,2195742.2450118037,-4463595.89373905,-6183367.920128174,9693350.602624932,7225709.0881699715,8642742.075750045
1,-8195310.961364252,-4033381.9983466184,-7483764.870262613,331072.1714143771,1497742.2935134599,-1131225.374237229,1720998.5298400111,880407.0755274596,1967871.3881423173,-5000548.809146731,-6317470.845582261,12824106.039509734,5223694.863025013,7715810.497967327
1,-6518941.315701917,-5145262.92931032,-4656889.162652192,-120570.1201598858,1252644.3727425972,-428022.12138149235,1834768.5059027981,970054.5087855632,1248346.3852602502,-5929231.568378636,-7657830.426744829,16040899.446372595,3564902.9273105394,5545131.497954924
1,-4071903.599386726,-6031629.038229751,-520802.5417488075,-1549887.3969696024,1066620.2839964933,560967.4243277728,1615082.4723547741,1432742.8771980354,556710.9059130854,-6836989.7777209375,-9584573.507553402,19360079.298644938,2186282.5630354565,1817300.0361386703
1,-2173781.321997575,-6949013.924460017,3378926.64291199,-3235368.5440224074,835795.5810012636,1885903.2354793213,1479515.1732330094,1981873.3079664935,295042.10383498156,-7458447.5986808725,-11149049.113339223,22541197.461252697,982277.2406945828,-2414870.243874246
1,-1659502.944142296,-8014189.11024652,5501705.010647754,-4367550.58345306,332463.2691414059,3236049.206151154,1546262.062432777,2200650.164961473,536910.4386581493,-7741533.719430459,-11520729.819139494,25082551.009028275,-34228.153223474095,-5098856.831385684
1,-2561690.2063561617,-9165380.890928457,5036009.040781114,-4417452.9547002055,-702503.1716127765,4041311.7025008816,1661917.9728456254,1822601.487388124,1056301.2643908346,-7773731.773239286,-10397570.405914905,26482114.755440474,-705810.0868755258,-4376116.733719736
1,-4266460.9945494495,-10226653.591976462,2282069.941491241,-3354354.3709353074,-2396470.8915435676,3786886.2891991814,1625870.1013435011,931398.5966864477,1544893.7851683218,-7644911.392533765,-8177092.874514859,26630951.694571707,-850744.0112334398,114617.71882645032
1,-5987932.037032956,-11023949.387217784,-1508889.1799798817,-1626997.0137661002,-4613684.933923838,2355647.590442926,1422529.7475053908,-45648.879310808305,1852515.4705764258,-7349207.204539713,-5791219.632038119,26076424.509082265,-439899.7865793316,6680310.736781525
1,-7244676.442904714,-11488648.806962688,-4755229.991251933,53196.21083286754,-6956764.180625488,179447.13456489544,1289098.3722634008,-548408.781776051,2087067.4871131144,-6787334.53279704,-4271740.842111724,25928319.112165026,299442.2131425475,12216233.048347786
1,-8057935.832460703,-11702074.041461155,-6300056.995084378,998870.8183245689,-8930328.621716106,-1917653.1627884617,1574845.668281442,-173189.99053005138,2517207.9269877663,-5855560.680788742,-4254615.26598743,27377955.02127534,936764.0209390009,13785771.135008903
1,-8789707.220759552,-11866359.572464941,-5911676.437939823,767394.9104769685,-10193322.23669038,-3120000.9407539214,2495054.5987619585,1129079.7836738979,3357333.6244258494,-4549846.487709248,-5671728.261395189,31047334.968826324,1030521.0647656617,10275922.206782391
1,-9769633.67221414,-12217822.38623276,-4287292.852971182,-753806.1186612842,-10757409.92055825,-3047265.1539822537,3951905.6463970845,3053764.7922884314,4589412.5727107,-3009429.9073988968,-7788355.960518918,36528935.13698268,349023.8516744007,3157973.972484391
1,-10981657.195865406,-12919066.379168814,-2591380.649828897,-3376900.23182417,-11001757.768443773,-1959947.528903465,5545645.47206215,5125313.218388242,5944008.311231839,-1471294.3063819758,-9565938.542810459,42415670.88785969,-1013740.8355984532,-4148954.4507165137
1,-12025580.931126574,-13973033.243676638,-1805104.356689629,-6687091.257968514,-11469960.549086861,-613330.7558276494,6770777.114385515,6936706.83048292,7049635.704101577,-169512.35002978818,-10159331.820625266,46872604.61167273,-2699758.083440133,-8027020.912171682
1,-12377310.381286405,-15196525.45819688,-2244354.1940015014,-10105216.00798547,-12542503.547611978,169922.55611063068,7271850.195786774,8296845.114474218,7644168.164965229,752045.1616954767,-9291547.51322137,48500053.02904253,-4290991.754234772,-6586435.365536481
1,-11769634.830425339,-16272375.734828653,-3483956.080266223,-12945286.744952466,-14164210.95316528,-27727.161975224266,7000289.060549606,9208864.994580636,7702451.630546978,1260084.3567298243,-7325006.356215211,47055172.698550805,-5534703.698839462,-703961.1802899865
1,-10431836.210239826,-16869488.73856461,-4683657.593134039,-14519031.742482947,-15795010.716047635,-969823.4319700215,6185218.383325594,9719027.71755688,7396007.74245518,1382891.2475187338,-5021714.15012997,43646941.83381401,-6458182.193407847,6418657.8513064915
1,-9013522.650074484,-16786101.691628095,-5092248.618347078,-14323758.127134914,-16640635.153841164,-1886847.076469145,5155071.395964887,9760861.182033796,6920065.029250783,1139578.307978204,-3153068.8139632116,40279457.23815525,-7310779.995053247,10951928.973128421
1,-8220192.307756406,-16050193.476717697,-4431882.071225448,-12274169.22625088,-16063631.450482192,-1904658.6474696717,4138770.9042419596,9119020.300890112,6317364.576390447,509002.0588459904,-2184225.2839244865,38952265.40003097,-8376909.664033972,10469438.887461292
1,-8377510.545072811,-14919633.019472482,-2965654.570929546,-8858263.316581866,-13961845.779581117,-543190.4139851425,3176853.704438975,7553239.50416335,5431709.252056743,-532109.3208535439,-2183974.8544577844,40754190.596741356,-9779489.764822645,5205678.528356502
